Router,Host,Index,Transporte(Gbps),Status
rMPLSCorePolo1_2,10.235.0.79,62,200,-
rMPLSCorePolo1_3,10.235.0.87,82,200,-
rMPLSCoreVillaSalvador3,10.235.0.82,60,200,-
rMPLSCoreVillaSalvador2,10.235.0.81,58,100,-
rMPLSCoreArequipa,10.235.2.16,111,30,-
rMPLSCoreArequipa,10.235.2.16,21,10,-
rMPLSCoreArequipa2,10.235.3.32,37,100,-
rMPLSCoreArequipa2,10.235.3.32,32,100,-
rMPLSCoreArequipa2,10.235.3.32,21,10,-
rMPLSCoreArequipa2,10.235.3.32,22,10,-
rMPLSCoreArequipa2,10.235.3.32,26,10,-
rMPLSCoreArequipa2,10.235.3.32,27,10,-
rMPLSCoreArequipa2,10.235.3.32,28,10,-
rMPLSCoreArequipa2,10.235.3.32,29,10,-
rMPLSCoreArequipa2,10.235.3.32,46,60,-
rMPLSCoreArequipa3,10.235.3.33,8,100,-
rMPLSCoreArequipa3,10.235.3.33,13,100,-
rMPLSCoreTrujillo,10.235.2.1,115,20,-
rMPLSCoreTrujillo,10.235.2.1,9,10,-
rMPLSCoreTrujillo2,10.235.3.1,38,100,-
rMPLSCoreTrujillo2,10.235.3.1,93,100,-
rMPLSCoreTrujillo2,10.235.3.1,6,100,-
rMPLSCoreTrujillo2,10.235.3.1,90,100,-
rMPLSCoreTrujillo2,10.235.3.1,24,10,-
rMPLSCoreTrujillo2,10.235.3.1,25,10,-
rMPLSCoreTrujillo2,10.235.3.1,26,10,-
rMPLSCoreTrujillo2,10.235.3.1,27,10,-
rMPLSCoreTrujillo2,10.235.3.1,101,40,-
rMPLSCoreTrujillo3,10.235.3.2,8,100,-
rMPLSCoreTrujillo3,10.235.3.2,24,100,-
rCorePolo1_1,10.235.0.83,35,10,-
rCorePolo1_2,10.235.0.84,35,10,-
rCoreVillaSalvador,10.235.0.85,33,10,-
rCoreVillaSalvador2,10.235.0.88,33,10,-
rMPLSVillaSalvadorBR1,10.235.0.48,167,200,-
rMPLSVillaSalvadorBR1,10.235.0.48,168,100,-
rMPLSVillaSalvadorBR01,10.235.0.124,222,200,-
rMPLSVillaSalvadorBR01,10.235.0.124,223,200,-
rMPLSPolo1BR2,10.235.0.49,203,200,-
rMPLSPolo1BR2,10.235.0.49,204,100,-
rMPLSPolo1BR02,10.235.0.123,220,200,-
rMPLSPolo1BR02,10.235.0.123,221,200,-
rMPLSTrujilloBR3,10.235.2.8,110,100,-
rMPLSTrujilloBR3,10.235.2.8,88,60,-
rMPLSTrujilloBR03,10.235.3.5,82,100,-
rMPLSTrujilloBR03,10.235.3.5,83,100,-
rMPLSTrujilloBR03,10.235.3.5,84,100,-
rMPLSArequipaBR4,10.235.2.18,37,80,-
rMPLSArequipaBR4,10.235.2.18,55,40,-
rMPLSArequipaBR04,10.235.3.36,90,100,-
rMPLSArequipaBR04,10.235.3.36,91,100,-
rMPLSArequipaBR04,10.235.3.36,92,100,-
rMPLSPolo1_2,10.235.0.45,1019,20,-
SW01-POLO1,10.235.192.164,97,10,-
SWGPRS01-ST1,10.235.192.182,573,40,-
SWGPRS01-ST1,10.235.192.182,570,40,-
cAGREGADORPolo1_3,10.235.192.116,5,10,-
rMPLSPolo1_2,10.235.0.45,757,40,-
rMPLSPolo1_2,10.235.0.45,24,10,-
rMPLSPolo1_2,10.235.0.45,48,1,-
rMPLSPolo1_2,10.235.0.45,62,1,-
rMPLSPolo1_2,10.235.0.45,966,40,-
rMPLSPolo1_2,10.235.0.45,944,40,-
rMPLSPolo1_2,10.235.0.45,36,10,-
rMPLSPolo1_3,10.235.0.63,164,20,-
rMPLSPolo1_3,10.235.0.63,11,10,-
rMPLSPolo1_3,10.235.0.63,12,10,-
rMPLSPolo1_4,10.235.0.64,11,10,-
rMPLSPolo1_4,10.235.0.64,165,10,-
rMPLSPolo1_4,10.235.0.64,16,10,-
rMPLSPolo2_1,10.235.0.9,549,30,-
rMPLSPolo2_1,10.235.0.9,21,10,-
rMPLSPolo2_1,10.235.0.9,160,10,-
rMPLSPolo2_1,10.235.0.9,161,10,-
rMPLSPolo2_1,10.235.0.9,198,10,-
rMPLSPolo2_1,10.235.0.9,583,20,-
rMPLSPolo2_1,10.235.0.9,199,10,-
rMPLSPolo2_2,10.235.0.10,309,20,-
rMPLSPolo2_2,10.235.0.10,17,10,-
rMPLSPolo2_2,10.235.0.10,15,10,-
rMPLSPolo2_2,10.235.0.10,64,10,-
rMPLSPolo2_2,10.235.0.10,65,10,-
rMPLSPolo2_3,10.235.0.65,44,10,-
rMPLSPolo2_3,10.235.0.65,16,10,-
rMPLSPolo2_3,10.235.0.65,17,10,-
rMPLSPolo2_4,10.235.0.66,19,10,-
rMPLSPolo2_4,10.235.0.66,42,10,-
OSR01-LAMILLA,10.235.2.236,74,10,-
OSR01-LAMILLA,10.235.2.236,73,10,-
OSR01-LAMILLA,10.235.2.236,98,10,-
OSR02-LAMILLA,10.235.2.237,50,10,-
OSR01-VillaSalvador,10.235.0.42,49,10,-
OSR01-VillaSalvador,10.235.0.42,52,10,-
OSR01-VillaSalvador,10.235.0.42,457,10,-
OSR01-VillaSalvador,10.235.0.42,458,10,-
OSR01-VillaSalvador,10.235.0.42,50,10,-
OSR02-Villasalvador,10.235.0.43,49,10,-
OSR02-Villasalvador,10.235.0.43,52,10,-
OSR02-Villasalvador,10.235.0.43,436,10,-
OSR02-Villasalvador,10.235.0.43,437,10,-
rMPLSVillaSalvador3,10.235.0.75,34,10,-
rMPLSVillaSalvador3,10.235.0.75,50,10,-
rMPLSVillaSalvador3,10.235.0.75,51,10,-
rMPLSVillaSalvador4,10.235.0.76,34,10,-
rMPLSVillaSalvador4,10.235.0.76,35,10,-
rMPLSVillaSalvador4,10.235.0.76,51,10,-
rMPLSColonial,10.235.0.132,274,100,-
rMPLSLosOlivos2,10.235.0.135,273,100,-
rMPLSSantaLuzmila,10.235.0.136,274,100,-
rMPLSIngenieria,10.235.0.134,275,100,-
rMPLSCotabambas2,10.235.0.133,273,100,-
rMPLSCotabambas2,10.235.0.133,275,100,-
rMPLSLosOlivos2,10.235.0.135,275,100,-
rAGREGADORHiguereta2,10.235.0.125,596,10,-
rAGREGADORHiguereta2,10.235.0.125,672,40,-
rAGREGADORHiguereta2,10.235.0.125,1512,100,-
rAGREGADORZarate2,10.235.0.69,66,10,-
rAGREGADORZarate2,10.235.0.69,67,10,-
rAGREGADORZarate2,10.235.0.69,469,100,-
rAGREGADORSantaAnita,10.235.0.130,60,10,-
rAGREGADORSantaAnita,10.235.0.130,61,10,-
rAGREGADORLaMolina,10.235.0.129,61,10,-
rAGREGADORLaMolina,10.235.0.129,60,10,-
rAGREGADORLaMolina,10.235.0.129,361,40,-
rAGREGADORCamacho2,10.235.0.128,20,10,-
rAGREGADORCamacho2,10.235.0.128,21,10,-
rAGREGADORMonterrico,10.235.0.127,60,10,-
rAGREGADORMonterrico,10.235.0.127,61,10,-
rAGREGADORAviacion,10.235.0.126,60,10,-
rAGREGADORAviacion,10.235.0.126,61,10,-
rAGREGADORAviacion,10.235.0.126,1081,40,-
rAGREGADORHiguereta2,10.235.0.125,89,10,-
rAGREGADORHiguereta2,10.235.0.125,87,10,-
rAGREGADORHiguereta2,10.235.0.125,515,10,-
rAGREGADORHiguereta2,10.235.0.125,516,10,-
rAGREGADORHiguereta2,10.235.0.125,47,10,-
rAGREGADORHiguereta2,10.235.0.125,90,10,-
rAGREGADORHiguereta2,10.235.0.125,88,10,-
rAGREGADORHiguereta2,10.235.0.125,151,10,-
rAGREGADORHiguereta2,10.235.0.125,152,10,-
rAGREGADORHiguereta2,10.235.0.125,153,10,-
rAGREGADORHiguereta2,10.235.0.125,20,10,-
rAGREGADORHiguereta2,10.235.0.125,367,10,-
rAGREGADORHiguereta2,10.235.0.125,525,10,-
rAGREGADORHiguereta2,10.235.0.125,526,10,-
rAGREGADORHiguereta2,10.235.0.125,527,10,-
rAGREGADORHiguereta2,10.235.0.125,528,10,-
rAGREGADORCamacho2,10.235.0.128,87,10,-
rAGREGADORCamacho2,10.235.0.128,89,10,-
rAGREGADORCamacho2,10.235.0.128,333,10,-
rAGREGADORCamacho2,10.235.0.128,334,10,-
rAGREGADORCamacho2,10.235.0.128,88,10,-
rAGREGADORCamacho2,10.235.0.128,1133,30,-
rAGREGADORAeropuerto2,10.235.0.172,7,10,-
rAGREGADORAeropuerto2,10.235.0.172,25,10,-
rAGREGADORAeropuerto2,10.235.0.172,26,10,-
rAGREGADORAeropuerto2,10.235.0.172,871,80,-
rAGREGADORAeropuerto2,10.235.0.172,79,10,-
rAGREGADORCallao2,10.235.0.175,6,10,-
rAGREGADORCallao2,10.235.0.175,37,10,-
rAGREGADORSanMiguel2,10.235.0.174,598,40,-
rAGREGADORSanMiguel2,10.235.0.174,25,10,-
rAGREGADORSanMiguel2,10.235.0.174,26,10,-
rAGREGADORSanFelipe2,10.235.0.173,7,10,-
rAGREGADORSanFelipe2,10.235.0.173,46,10,-
rAGREGADORSanFelipe2,10.235.0.173,377,10,-
rAGREGADORSanFelipe2,10.235.0.173,928,80,-
rAGREGADORAeropuerto2,10.235.0.172,555,40,-
rMPLSAeropuerto2,10.235.0.67,11,10,-
rMPLSAeropuerto2,10.235.0.67,116,20,-
rMPLSAeropuerto2,10.235.0.67,19,10,-
rMPLSAeropuerto2,10.235.0.67,20,10,-
rMPLSAeropuerto2,10.235.0.67,21,10,-
rMPLSAeropuerto3,10.235.0.68,23,10,-
rMPLSAeropuerto3,10.235.0.68,24,10,-
rMPLSAeropuerto3,10.235.0.68,25,10,-
rMPLSAeropuerto3,10.235.0.68,15,10,-
rAGREGADORChorrillos,10.235.0.182,60,10,-
rAGREGADOROcharan,10.235.0.147,84,10,-
rMPLSCoreVillaSalvador3,10.235.0.82,78,40,-
rAGREGADOROcharan,10.235.0.147,25,10,-
rAGREGADOROcharan,10.235.0.147,1039,20,-
rMPLSCoreArequipa,10.235.2.16,19,10,-
rMPLSCoreArequipa,10.235.2.16,52,10,-
rMPLSCoreArequipa,10.235.2.16,55,10,-
rMPLSCoreArequipa,10.235.2.16,53,10,-
rMPLSCoreArequipa,10.235.2.16,71,10,-
rMPLSCoreArequipa,10.235.2.16,72,10,-
rMPLSCoreArequipa,10.235.2.16,18,10,-
rMPLSArequipa2,10.235.2.31,19,10,-
rMPLSArequipa2,10.235.2.31,1000,30,-
rMPLSArequipa2,10.235.2.31,1063,40,-
rMPLSArequipa2,10.235.2.31,20,10,-
rMPLSArequipa2,10.235.2.31,1079,40,-
rMPLSArequipa3,10.235.2.30,264,20,-
rMPLSArequipa3,10.235.2.30,263,20,-
rMPLSArequipa3,10.235.2.30,78,10,-
rMPLSArequipa3,10.235.2.30,279,20,-
rMPLSArequipa4,10.235.3.34,156,100,-
rMPLSArequipa4,10.235.3.34,157,100,-
rMPLSArequipa4,10.235.3.34,160,20,-
rMPLSArequipa5,10.235.3.39,314,100,-
rMPLSArequipa5,10.235.3.39,321,20,-
rMPLSArequipa6,10.235.3.35,175,100,-
rMPLSArequipa6,10.235.3.35,174,100,-
rMPLSArequipa6,10.235.3.35,75,10,-
rMPLSMoquegua,10.235.2.111,32,10,-
rMPLSMoquegua,10.235.2.111,12,1,-
rMPLSMoquegua,10.235.2.111,33,10,-
rMPLSMoquegua2,10.235.2.112,38,10,-
rMPLSMoquegua2,10.235.2.112,36,10,-
rMPLSTacna02,10.235.2.28,28,10,-
rMPLSTacna02,10.235.2.28,31,10,-
rMPLSTacna02,10.235.2.28,37,10,-
rMPLSTacna01,10.235.2.21,38,1,-
rMPLSTacna01,10.235.2.21,39,1,-
rMPLSTacna01,10.235.2.21,40,1,-
rMPLSTacna01,10.235.2.21,41,1,-
rMPLSTacna01,10.235.2.21,42,1,-
rMPLSTacna01,10.235.2.21,37,10,-
OSR01-PUNO,10.95.253.170,125,10,-
OSR01-PUNO,10.95.253.170,127,10,-
OSR01-PUNO,10.95.253.170,48,1,-
OSR01-PUNO,10.95.253.170,149,4,-
OSR01-PUNO,10.95.253.170,117,10,-
OSR01-PUNO,10.95.253.170,115,1,-
OSR01-PUNO,10.95.253.170,123,10,-
OSR01-PUNO,10.95.253.170,119,10,-
rMPLSJuliaca2,10.235.2.115,23,10,-
rMPLSJuliaca2,10.235.2.115,301,10,-
rMPLSJuliaca2,10.235.2.115,5,1,-
rMPLSHuisonroque2,10.235.2.27,109,40,-
OSR01-MDD,10.95.253.174,174,10,-
OSR01-MDD,10.95.253.174,399,0.1,-
OSR02-MDD,10.95.253.175,220,10,-
OSR02-MDD,10.95.253.175,50,1,-
OSR02-MDD,10.95.253.175,49,1,-
OSR02-MDD,10.95.253.175,48,1,-
OSR02-MDD,10.95.253.175,222,10,-
OSR02-MDD,10.95.253.175,214,10,-
rMPLSCuzco2,10.235.2.20,25,10,-
rMPLSCuzco2,10.235.2.20,336,10,-
rMPLSCuzco2,10.235.2.20,453,20,-
rMPLSCuzco2,10.235.2.20,27,10,-
rMPLSCuzco2,10.235.2.20,59,1,-
rMPLSCuzco2,10.235.2.20,70,1,-
rMPLSCuzco2,10.235.2.20,66,1,-
rMPLSCuzco2,10.235.2.20,60,1,-
rMPLSCuzco3,10.235.2.29,13,10,-
rMPLSCuzco3,10.235.2.29,86,10,-
rMPLSCuzco3,10.235.2.29,14,10,-
rMPLSCuzco3,10.235.2.29,33,1,-
rMPLSCuzco3,10.235.2.29,25,1,-
rMPLSCuzco4,10.235.3.37,73,10,-
rMPLSCuzco4,10.235.3.37,74,10,-
rMPLSCuzco4,10.235.3.37,75,10,-
rMPLSCuzco4,10.235.3.37,76,10,-
rMPLSCuzco4,10.235.3.37,111,40,-
rMPLSCuzco4,10.235.3.37,77,10,-
rMPLSCuzco4,10.235.3.37,78,10,-
rMPLSCuzco4,10.235.3.37,79,10,-
rMPLSCuzco4,10.235.3.37,80,10,-
rMPLSCuzco4,10.235.3.37,110,40,-
rMPLSCuzco4,10.235.3.37,83,10,-
rMPLSCuzco4,10.235.3.37,84,10,-
rMPLSCuzco5,10.235.3.38,96,10,-
rMPLSCuzco5,10.235.3.38,97,10,-
rMPLSCuzco5,10.235.3.38,97,10,-
rMPLSCuzco5,10.235.3.38,99,10,-
rMPLSCuzco5,10.235.3.38,112,40,-
rMPLSCuzco5,10.235.3.38,102,10,-
rMPLSCuzco5,10.235.3.38,103,10,-
rMPLSAbancay,10.235.2.121,47,10,-
rMPLSAbancay,10.235.2.121,48,10,-
rMPLSAbancay,10.235.2.121,72,20,-
rMPLSIca2,10.235.2.22,295,10,-
rMPLSIca2,10.235.2.22,67,10,-
rMPLSIca2,10.235.2.22,85,1,-
rMPLSIca2,10.235.2.22,48,1,-
rMPLSIca2,10.235.2.22,273,20,-
rMPLSIca2,10.235.2.22,32,10,-
rMPLSIca2,10.235.2.22,39,1,-
rMPLSIca2,10.235.2.22,40,1,-
rMPLSIca2,10.235.2.22,41,1,-
rMPLSIca2,10.235.2.22,42,1,-
rMPLSIca2,10.235.2.22,43,1,-
rMPLSIca2,10.235.2.22,75,1,-
rMPLSIca2,10.235.2.22,76,1,-
rMPLSIca2,10.235.2.22,77,1,-
rMPLSIca2,10.235.2.22,78,1,-
rMPLSIca2,10.235.2.22,79,1,-
rMPLSIca2,10.235.2.22,33,10,-
OSR01-ICA,10.95.253.126,53,1,-
OSR01-ICA,10.95.253.126,48,1,-
OSR01-ICA,10.95.253.126,50,1,-
OSR01-ICA,10.95.253.126,49,1,-
OSR01-ICA,10.95.253.126,137,10,-
rMPLSChincha2,10.235.2.117,36,10,-
rMPLSChincha2,10.235.2.117,38,10,-
rMPLSChincha2,10.235.2.117,37,10,-
rMPLSAsia2,10.235.145.45,33,10,-
rMPLSAsia2,10.235.145.45,15,1,-
rMPLSAsia2,10.235.145.45,13,1,-
rMPLSAsia2,10.235.145.45,34,10,-
rMPLSCoreTrujillo,10.235.2.1,63,50,-
rMPLSCoreTrujillo,10.235.2.1,26,10,-
rMPLSCoreTrujillo,10.235.2.1,20,1,-
rMPLSCoreTrujillo,10.235.2.1,131,30,-
rMPLSCoreTrujillo,10.235.2.1,14,10,-
rMPLSCoreTrujillo,10.235.2.1,114,10,-
rMPLSCoreTrujillo,10.235.2.1,13,10,-
rMPLSCoreTrujillo,10.235.2.1,27,10,-
rMPLSCoreTrujillo,10.235.2.1,12,10,-
rMPLSCoreTrujillo,10.235.2.1,97,40,-
rMPLSCoreTrujillo,10.235.2.1,95,10,-
rMPLSTrujillo2,10.235.2.100,235,50,-
rMPLSTrujillo2,10.235.2.100,55,10,-
rMPLSTrujillo2,10.235.2.100,1240,20,-
rMPLSTrujillo2,10.235.2.100,1111,40,-
rMPLSTrujillo3,10.235.2.101,350,40,-
rMPLSChiclayo3,10.235.201.36,468,30,-
rMPLSChiclayo3,10.235.201.36,54,1,-
rMPLSChiclayo3,10.235.201.36,21,10,-
rMPLSChiclayo3,10.235.201.36,457,20,-
rMPLSChiclayo4,10.235.3.6,45,10,-
rMPLSChiclayo4,10.235.3.6,46,10,-
rMPLSChiclayo4,10.235.3.6,47,10,-
rMPLSChiclayo4,10.235.3.6,48,10,-
rMPLSChiclayo4,10.235.3.6,143,40,-
rMPLSChiclayo4,10.235.3.6,9,10,-
rMPLSChiclayo4,10.235.3.6,10,10,-
rMPLSChiclayo4,10.235.3.6,11,10,-
rMPLSChiclayo4,10.235.3.6,12,10,-
rMPLSChiclayo4,10.235.3.6,142,40,-
rMPLSChiclayo5,10.235.3.7,82,10,-
rMPLSChiclayo5,10.235.3.7,83,10,-
rMPLSChiclayo5,10.235.3.7,84,10,-
rMPLSChiclayo5,10.235.3.7,85,10,-
rMPLSChiclayo5,10.235.3.7,86,10,-
rMPLSChiclayo5,10.235.3.7,87,10,-
rMPLSChiclayo5,10.235.3.7,116,60,-
rMPLSTrujillo4,10.235.3.3,252,100,-
rMPLSTrujillo4,10.235.3.3,251,100,-
rMPLSTrujillo5,10.235.3.12,318,100,-
rMPLSTrujillo6,10.235.3.4,254,100,-
rMPLSTrujillo6,10.235.3.4,255,100,-
rMPLSTumbes,10.235.3.10,53,10,-
rMPLSTumbes,10.235.3.10,54,10,-
rMPLSTumbes,10.235.3.10,60,20,-
rMPLSTumbes,10.235.3.10,50,10,-
rMPLSTumbes,10.235.3.10,51,10,-
rMPLSTumbes,10.235.3.10,61,20,-
rMPLSPiura2,10.235.2.105,19,10,-
rMPLSPiura2,10.235.2.105,32,1,-
rMPLSPiura2,10.235.2.105,33,1,-
rMPLSPiura2,10.235.2.105,45,10,-
rMPLSPiura3,10.235.3.8,27,10,-
rMPLSPiura3,10.235.3.8,28,10,-
rMPLSPiura3,10.235.3.8,29,10,-
rMPLSPiura3,10.235.3.8,33,10,-
rMPLSPiura3,10.235.3.8,142,40,-
rMPLSPiura3,10.235.3.8,34,10,-
rMPLSPiura3,10.235.3.8,35,10,-
rMPLSPiura3,10.235.3.8,122,10,-
rMPLSPiura3,10.235.3.8,123,10,-
rMPLSPiura3,10.235.3.8,143,40,-
rMPLSPiura4,10.235.3.9,105,10,-
rMPLSPiura4,10.235.3.9,117,10,-
OSR01-PIURA,10.95.253.164,104,10,-
rMPLSCajamarca2,10.235.2.96,33,10,-
rMPLSCajamarca2,10.235.2.96,182,10,-
rMPLSCajamarca2,10.235.2.96,181,10,-
rMPLSCajamarca2,10.235.2.96,34,10,-
rMPLSCajamarca3,10.235.2.97,79,10,-
rMPLSCajamarca3,10.235.2.97,80,10,-
rMPLSCajamarca3,10.235.2.97,25,10,-
rMPLSCajamarca3,10.235.2.97,23,10,-
rMPLSCajamarca3,10.235.2.97,98,30,-
rMPLSCajamarca3,10.235.2.97,41,1,-
rMPLSTarapoto,10.235.2.106,12,0.19,-
rMPLSTarapoto,10.235.2.106,32,10,-
rMPLSTarapoto,10.235.2.106,13,0.19,-
rMPLSTarapoto,10.235.2.106,14,0.19,-
rMPLSTarapoto2,10.235.2.107,12,10,-
rMPLSIquitos3,10.235.2.109,11,10,-
rMPLSIquitos3,10.235.2.109,24,1,-
rMPLSIquitos2,10.235.2.108,17,1,-
OSR02-IQUITOS,10.95.253.167,149,0.025,-
OSR02-IQUITOS,10.95.253.167,46,1,-
OSR02-IQUITOS,10.95.253.167,47,1,-
OSR02-IQUITOS,10.95.253.167,48,1,-
rMPLSBarranca,10.235.2.98,12,10,-
rMPLSBarranca,10.235.2.98,14,10,-
rMPLSBarranca,10.235.2.98,150,40,-
rMPLSBarranca,10.235.2.98,138,10,-
rMPLSBarranca,10.235.2.98,139,10,-
rMPLSBarranca,10.235.2.98,13,10,-
rMPLSBarranca,10.235.2.98,17,1,-
rMPLSBarranca,10.235.2.98,15,1,-
rMPLSBarranca,10.235.2.98,11,10,-
rMPLSHuacho2,10.235.204.42,33,10,-
rMPLSHuacho2,10.235.204.42,34,10,-
rMPLSChimbote2,10.235.2.12,39,10,-
rMPLSChimbote2,10.235.2.12,35,10,-
rMPLSChimbote2,10.235.2.12,40,10,-
rMPLSChimbote2,10.235.2.12,41,1,-
rMPLSChimbote2,10.235.2.12,42,1,-
rMPLSChimbote2,10.235.2.12,43,1,-
rMPLSChimbote2,10.235.2.12,44,1,-
rMPLSChimbote2,10.235.2.12,45,1,-
rMPLSChimbote2,10.235.2.12,195,20,-
rMPLSLaOroya,10.235.2.113,48,30,-
rMPLSLaOroya,10.235.2.113,49,30,-
rMPLSLaOroya,10.235.2.113,45,10,-
rMPLSLaOroya,10.235.2.113,46,10,-
rMPLSLaOroya,10.235.2.113,42,10,-
rMPLSLaOroya,10.235.2.113,44,10,-
rMPLSLaOroya,10.235.2.113,68,10,-
rMPLSLaOroya,10.235.2.113,20,10,-
rMPLSLaOroya2,10.235.2.114,18,10,-
rMPLSLaOroya2,10.235.2.114,24,1,-
rMPLSLaOroya2,10.235.2.114,53,10,-
rMPLSLaOroya2,10.235.2.114,21,10,-
rMPLSHuanuco,10.235.2.3,106,10,-
rMPLSHuanuco,10.235.2.3,13,10,-
rMPLSHuanuco,10.235.2.3,14,10,-
rMPLSHuanuco,10.235.2.3,107,10,-
rMPLSHuanuco,10.235.2.3,12,10,-
rMPLSHuanuco2,10.235.2.9,64,10,-
rMPLSHuanuco2,10.235.2.9,34,10,-
rMPLSPucallpa2,10.235.2.14,33,10,-
OSR01-JUNIN,10.95.253.168,206,4,-
OSR01-JUNIN,10.95.253.168,105,10,-
rMPLSHuancayo2,10.235.2.120,53,10,-
rMPLSHuancayo2,10.235.2.120,55,10,-
rMPLSHuancayo2,10.235.2.120,58,10,-
rMPLSHuancayo2,10.235.2.120,111,10,-
rMPLSHuancayo2,10.235.2.120,81,10,-
rMPLSHuancayo2,10.235.2.120,51,10,-
rMPLSHuancayo2,10.235.2.120,54,10,-
rMPLSJuliaca2,10.235.2.115,300,10,-
rMPLSJuliaca2,10.235.2.115,411,10,-
rMPLSJuliaca2,10.235.2.115,21,10,-
rMPLSJuliaca2,10.235.2.115,409,10,-
rMPLSCoreTrujillo,10.235.2.1,21,10,-
rMPLSCoreTrujillo,10.235.2.1,22,10,-
rMPLSCoreTrujillo,10.235.2.1,23,10,-
OSR01-PIURA,10.95.253.164,292,10,-
OSR01-PIURA,10.95.253.164,98,10,-
OSR01-PIURA,10.95.253.164,47,10,-
OSR01-PIURA,10.95.253.164,48,10,-
rMPLSTarapoto,10.235.2.106,43,0.57,-
OSR01-JUNIN,10.95.253.168,48,10,-
OSR02-JUNIN,10.95.253.169,314,4,-
OSR02-JUNIN,10.95.253.169,303,10,-
rMPLSHuancayo2,10.235.2.120,56,10,-
